id,Class,Usage
1,Kirmizi_Pistachio,Private
2,Siit_Pistachio,Private
3,Kirmizi_Pistachio,Private
4,Kirmizi_Pistachio,Private
5,Kirmizi_Pistachio,Private
6,Kirmizi_Pistachio,Private
7,Kirmizi_Pistachio,Private
8,Kirmizi_Pistachio,Private
9,Siit_Pistachio,Private
10,Kirmizi_Pistachio,Private
11,Kirmizi_Pistachio,Private
12,Kirmizi_Pistachio,Private
13,Siit_Pistachio,Private
14,Kirmizi_Pistachio,Private
15,Kirmizi_Pistachio,Private
16,Kirmizi_Pistachio,Private
17,Kirmizi_Pistachio,Private
18,Kirmizi_Pistachio,Private
19,Kirmizi_Pistachio,Private
20,Siit_Pistachio,Private
21,Kirmizi_Pistachio,Private
22,Kirmizi_Pistachio,Private
23,Siit_Pistachio,Private
24,Kirmizi_Pistachio,Private
25,Kirmizi_Pistachio,Private
26,Kirmizi_Pistachio,Private
27,Siit_Pistachio,Private
28,Kirmizi_Pistachio,Private
29,Kirmizi_Pistachio,Private
30,Kirmizi_Pistachio,Private
31,Kirmizi_Pistachio,Private
32,Siit_Pistachio,Private
33,Siit_Pistachio,Private
34,Kirmizi_Pistachio,Private
35,Siit_Pistachio,Private
36,Kirmizi_Pistachio,Private
37,Kirmizi_Pistachio,Private
38,Siit_Pistachio,Private
39,Siit_Pistachio,Private
40,Kirmizi_Pistachio,Private
41,Kirmizi_Pistachio,Private
42,Kirmizi_Pistachio,Private
43,Siit_Pistachio,Private
44,Kirmizi_Pistachio,Private
45,Kirmizi_Pistachio,Private
46,Kirmizi_Pistachio,Private
47,Kirmizi_Pistachio,Private
48,Kirmizi_Pistachio,Private
49,Kirmizi_Pistachio,Private
50,Kirmizi_Pistachio,Private
51,Siit_Pistachio,Private
52,Kirmizi_Pistachio,Private
53,Siit_Pistachio,Private
54,Siit_Pistachio,Private
55,Kirmizi_Pistachio,Private
56,Kirmizi_Pistachio,Private
57,Kirmizi_Pistachio,Private
58,Siit_Pistachio,Private
59,Kirmizi_Pistachio,Private
60,Siit_Pistachio,Private
61,Kirmizi_Pistachio,Private
62,Siit_Pistachio,Private
63,Siit_Pistachio,Private
64,Kirmizi_Pistachio,Private
65,Siit_Pistachio,Private
66,Kirmizi_Pistachio,Private
67,Siit_Pistachio,Private
68,Kirmizi_Pistachio,Private
69,Siit_Pistachio,Private
70,Siit_Pistachio,Private
71,Siit_Pistachio,Private
72,Siit_Pistachio,Private
73,Siit_Pistachio,Private
74,Siit_Pistachio,Private
75,Kirmizi_Pistachio,Private
76,Siit_Pistachio,Private
77,Kirmizi_Pistachio,Private
78,Siit_Pistachio,Private
79,Kirmizi_Pistachio,Private
80,Kirmizi_Pistachio,Private
81,Kirmizi_Pistachio,Private
82,Kirmizi_Pistachio,Private
83,Kirmizi_Pistachio,Private
84,Kirmizi_Pistachio,Private
85,Kirmizi_Pistachio,Private
86,Kirmizi_Pistachio,Private
87,Kirmizi_Pistachio,Private
88,Kirmizi_Pistachio,Private
89,Kirmizi_Pistachio,Private
90,Siit_Pistachio,Private
