AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,Class
,,483.3133,194.6325,0.9153,304.2065,0.9681,75075.0,0.7105,2.4832,0.6052,0.6294,0.0066,0.0027,0.3962,0.9838,Kirmizi_Pistachio
100409.0,1219.521,,275.7984,0.8077,357.5538,0.992,101215.0,0.7639,1.6961,0.8484,0.7644,,0.0027,0.5842,0.9909,Siit_Pistachio
80569.0,,498.032,212.6353,0.9043,320.2868,0.9534,84508.0,0.6326,2.3422,0.5832,0.6431,0.0062,0.0026,0.4136,0.9687,
58386.0,1088.683,423.7374,187.3131,0.897,272.6525,0.9061,64440.0,0.6668,2.2622,0.619,0.6434,0.0073,0.0032,0.414,0.9366,
84056.0,,464.739,237.5981,0.8594,327.1443,0.9427,89167.0,0.7534,1.956,0.5506,0.7039,0.0055,0.0028,0.4955,,Kirmizi_Pistachio
61449.0,1778.967,369.122,221.9524,0.799,279.7129,0.923,66578.0,,1.6631,0.244,0.7578,0.006,0.0036,0.5742,0.955,Siit_Pistachio
92544.0,1169.63,464.4752,254.748,0.8362,343.2647,0.9921,93282.0,0.7556,1.8233,0.8501,0.739,0.005,0.0028,0.5462,0.9958,Siit_Pistachio
92179.0,1205.649,479.1033,,0.8582,342.5871,0.9895,,0.6225,1.9481,0.7969,0.7151,0.0052,0.0027,0.5113,0.9961,
112405.0,1324.533,522.2956,276.4228,0.8485,378.3101,0.9838,,0.7585,1.8895,0.8051,0.7243,0.0046,0.0025,0.5246,0.9913,Siit_Pistachio
68787.0,1163.197,462.8843,198.0744,0.9038,295.9431,0.9369,73420.0,0.6107,2.3369,0.6389,,0.0067,0.0029,0.4088,0.9552,Kirmizi_Pistachio
100334.0,1993.053,447.9268,298.6092,0.7454,357.4202,0.9359,107202.0,0.7714,1.5,0.3174,0.7979,0.0045,0.003,0.6367,0.9551,Siit_Pistachio
,1264.996,475.988,257.7403,0.8407,,0.9329,98066.0,0.6515,1.8468,0.7185,0.717,0.0052,0.0028,0.5141,,Siit_Pistachio
72490.0,1180.124,,205.3467,0.8953,303.8044,0.9714,74625.0,,2.2451,0.6541,0.659,0.0064,0.0028,0.4343,0.9749,Kirmizi_Pistachio
,,427.6557,252.697,0.8068,325.0555,0.9649,86005.0,,1.6924,0.3966,0.7601,0.0052,0.003,0.5777,0.9777,Siit_Pistachio
,1802.5959,,268.3589,0.8011,339.3308,0.9309,97148.0,0.7157,,0.3497,0.7568,0.005,0.003,0.5728,0.957,Siit_Pistachio
103691.0,1529.9611,426.9058,314.1679,,363.3503,0.9543,108660.0,0.775,1.3588,0.5567,0.8511,,0.003,0.7244,0.9844,Siit_Pistachio
81027.0,1084.517,417.0494,248.2852,0.8035,321.1959,0.9927,81623.0,0.7683,1.6797,0.8657,0.7702,0.0051,0.0031,0.5932,0.9963,Siit_Pistachio
74054.0,1106.869,419.7861,229.3526,0.8376,307.0643,0.9637,76847.0,0.7725,1.8303,0.7596,0.7315,0.0057,0.0031,0.5351,0.9793,Kirmizi_Pistachio
,1219.256,490.9517,249.5563,0.8612,349.6974,0.9919,,0.7379,1.9673,0.8119,,0.0051,0.0026,0.5073,0.9981,Kirmizi_Pistachio
97002.0,,482.9794,258.5625,0.8446,351.4353,0.966,100419.0,0.7588,,0.6312,,,0.0027,0.5295,0.989,Siit_Pistachio
41435.0,1103.095,320.3445,172.6046,0.8424,,0.9236,44863.0,0.7345,1.8559,0.4279,0.717,0.0077,0.0042,0.5141,,Kirmizi_Pistachio
78892.0,,487.6777,215.66,0.8969,316.936,0.9216,85606.0,0.6122,2.2613,0.604,0.6499,0.0062,0.0027,0.4224,0.9551,Kirmizi_Pistachio
82463.0,2182.4021,444.5504,282.1806,0.7727,324.0295,0.8725,94513.0,0.6909,1.5754,0.2176,0.7289,0.0054,0.0034,0.5313,0.837,Siit_Pistachio
72405.0,1150.848,470.9488,198.5195,0.9068,303.6263,0.9654,74997.0,0.7682,2.3723,0.687,0.6447,0.0065,0.0027,0.4157,0.9861,Kirmizi_Pistachio
85157.0,1363.88,499.3797,222.86,0.8949,329.2799,0.9562,89054.0,0.6959,2.2408,0.5753,0.6594,0.0059,0.0026,0.4348,0.9742,Kirmizi_Pistachio
59753.0,1733.895,418.0769,193.1692,0.8869,275.8258,0.8756,68239.0,0.6377,2.1643,,0.6597,,0.0032,0.4353,0.9421,Kirmizi_Pistachio
73158.0,1987.899,,274.9922,0.8154,305.201,0.7669,95394.0,0.5925,1.7273,0.2326,0.6425,0.0065,0.0038,0.4128,,
74356.0,2528.801,474.0894,229.4486,0.8751,307.6898,0.8248,90148.0,,2.0662,0.1461,0.649,0.0064,0.0031,0.4212,0.8703,Kirmizi_Pistachio
,,442.6382,224.7112,0.8616,,0.899,78884.0,0.7149,1.9698,0.2218,0.6789,0.0062,0.0032,0.4608,0.9078,Kirmizi_Pistachio
110047.0,1694.811,442.1004,327.0766,0.6728,374.321,0.9459,,0.7488,1.3517,0.4814,0.8467,0.004,0.003,0.7169,0.969,Siit_Pistachio
75984.0,1191.655,456.0435,217.1558,0.8794,311.0399,0.969,78412.0,0.6757,2.1001,0.6724,0.682,0.006,0.0029,0.4652,0.9769,Kirmizi_Pistachio
72454.0,1702.651,425.6766,233.8794,0.8355,303.729,0.9234,78464.0,0.6792,1.8201,0.3141,0.7135,0.0059,0.0032,0.5091,0.9266,Kirmizi_Pistachio
51022.0,996.282,360.3893,209.2365,0.8142,,0.8896,57354.0,0.679,1.7224,0.646,0.7072,0.0071,,0.5002,0.8615,Kirmizi_Pistachio
44718.0,1162.8149,,,,,0.8659,51643.0,0.5655,2.1754,0.4156,,0.0083,0.0038,0.4173,0.9077,Kirmizi_Pistachio
,1321.975,457.3996,262.5589,0.8188,342.576,0.9582,,,1.7421,0.6628,0.749,,0.0028,0.5609,0.9772,Siit_Pistachio
73958.0,1180.903,450.9382,213.1607,0.8812,306.8652,0.9737,75956.0,0.7606,,0.6664,0.6805,0.0061,0.0029,0.4631,0.9797,Kirmizi_Pistachio
88120.0,,462.0862,246.7303,0.8455,334.9595,0.9753,90350.0,0.7594,,0.6908,0.7249,,0.0028,0.5255,0.9841,Kirmizi_Pistachio
88357.0,2152.5439,445.4917,278.173,0.7811,335.4096,0.9071,97403.0,0.7421,1.6015,0.2396,0.7529,0.005,,0.5669,0.9078,Siit_Pistachio
88406.0,1210.5,,247.4065,0.8422,335.5026,0.9797,,0.6973,1.8549,0.7582,,,0.0028,0.5345,0.9914,Siit_Pistachio
96351.0,1444.489,407.1067,,0.6399,350.2541,0.9345,103106.0,0.7522,1.3013,0.5803,,0.0042,,0.7402,,Siit_Pistachio
88991.0,2391.5869,445.6331,,0.7794,336.6108,0.8855,100494.0,0.658,1.596,0.1955,,,0.0031,,0.9106,
100391.0,1248.085,462.6749,284.7257,0.7882,357.5217,0.968,103710.0,0.7548,1.625,0.8099,0.7727,0.0046,0.0028,0.5971,0.9703,Siit_Pistachio
59122.0,1055.338,,192.7115,0.8798,274.3656,0.9781,60448.0,,2.1034,0.6671,0.6769,0.0069,0.0033,0.4581,0.9636,Kirmizi_Pistachio
92485.0,1231.2729,462.5623,262.0046,0.8241,343.1553,0.9592,96416.0,0.7486,1.7655,0.7666,0.7419,,0.0028,0.5504,0.9716,Siit_Pistachio
104082.0,,491.2367,310.7192,0.7745,364.0348,0.8834,117820.0,0.6173,1.581,0.2477,0.7411,0.0047,0.003,0.5492,0.8682,Siit_Pistachio
85328.0,1146.3521,458.3759,239.8108,0.8522,329.6104,0.9913,86075.0,0.7833,1.9114,0.816,0.7191,,0.0028,0.5171,0.9884,Kirmizi_Pistachio
79733.0,1200.712,,240.1146,0.8587,,0.8747,91157.0,0.6722,1.951,0.695,0.6801,0.0059,0.003,0.4626,0.9025,
78593.0,2126.448,,232.1182,,316.3348,0.9297,84539.0,0.5844,1.9631,,0.6942,,0.003,0.482,0.9461,Siit_Pistachio
72587.0,1089.3199,404.8062,241.2709,0.803,304.0076,,78430.0,,1.6778,0.7687,0.751,0.0056,0.0033,0.564,0.9463,Siit_Pistachio
54461.0,1657.509,,212.1507,0.8321,,0.8491,64138.0,0.6791,1.8028,0.2491,0.6885,0.007,0.0039,0.474,0.8546,Kirmizi_Pistachio
75986.0,1169.889,457.5267,214.8641,,311.044,0.9875,76944.0,0.7895,2.1294,0.6977,0.6798,0.006,0.0028,0.4622,0.9842,Kirmizi_Pistachio
,1354.329,451.688,254.2858,0.8265,331.9161,0.9306,92977.0,0.7176,1.7763,0.5928,0.7348,0.0052,0.0029,0.54,0.9592,Siit_Pistachio
79201.0,1274.825,461.7712,,0.8788,317.5561,0.9756,81180.0,0.7635,2.0956,0.6124,0.6877,0.0058,0.0028,0.4729,0.9911,Kirmizi_Pistachio
98959.0,1328.33,469.5879,287.2536,0.7911,354.9627,0.9078,109005.0,0.688,1.6348,0.7048,0.7559,0.0047,0.0029,0.5714,0.9341,Siit_Pistachio
,1501.981,482.8118,255.8039,0.8481,346.9523,0.9451,100040.0,0.7563,1.8874,0.5266,0.7186,0.0051,0.0027,0.5164,0.9747,Siit_Pistachio
78285.0,1169.6429,465.0707,,0.8824,315.7144,0.9741,,0.6502,2.1257,0.7191,0.6789,,0.0028,0.4608,0.9796,Kirmizi_Pistachio
,1157.671,441.4143,225.8617,0.8592,308.1612,0.9393,79402.0,,1.9544,0.6993,0.6981,0.0059,0.003,0.4874,0.9525,
87946.0,,439.0056,260.805,0.8044,334.6286,0.95,92571.0,0.7303,,0.5868,0.7622,0.005,0.003,0.581,0.978,Siit_Pistachio
,1560.489,432.7174,244.9128,,321.3465,0.9538,,0.7323,1.7668,0.4185,0.7426,0.0053,0.003,0.5515,0.9744,Siit_Pistachio
,2041.547,490.657,237.4381,0.8751,330.6074,0.8941,96011.0,0.7345,2.0665,0.2588,0.6738,,0.0028,0.454,0.9382,Kirmizi_Pistachio
,1219.896,471.6762,260.2687,0.834,349.8066,0.9896,97116.0,0.7357,1.8123,0.8115,0.7416,0.0049,0.0027,0.55,0.9968,Siit_Pistachio
79594.0,1196.181,,215.4623,0.8985,318.343,0.9526,83551.0,0.6439,2.2776,,0.6487,0.0062,0.0027,0.4208,0.9584,Kirmizi_Pistachio
65410.0,1032.755,412.5824,205.1103,0.8677,288.5872,,66683.0,0.7523,2.0115,0.7707,0.6995,,,0.4893,0.9841,Kirmizi_Pistachio
83005.0,1122.7841,,255.9364,0.787,325.0927,0.9874,84064.0,0.726,1.6208,0.8274,0.7837,0.005,0.0031,0.6142,0.9955,Siit_Pistachio
70277.0,1687.6949,,215.5658,0.8731,299.1312,0.8931,78689.0,0.6998,2.0512,0.3101,0.6765,,0.0031,0.4577,0.9388,Kirmizi_Pistachio
101005.0,1382.8,476.3697,279.0725,0.8104,358.6134,0.9478,106565.0,0.7732,,,0.7528,0.0047,0.0028,0.5667,0.9674,Siit_Pistachio
80819.0,1202.189,410.4298,259.6889,0.7744,320.7833,0.9522,84878.0,0.7508,1.5805,0.7027,0.7816,0.0051,0.0032,0.6109,0.9655,Siit_Pistachio
67309.0,2353.405,451.3162,201.3479,0.895,292.7464,,75573.0,0.6887,,0.1527,,0.0067,,0.4207,0.9431,Kirmizi_Pistachio
,1885.225,461.6183,246.4892,,317.6262,0.8759,90460.0,0.6936,,0.2802,0.6881,0.0058,0.0031,0.4734,0.8866,Kirmizi_Pistachio
87207.0,1205.8311,461.0904,256.776,0.8306,333.2198,0.9184,94960.0,0.7032,1.7957,0.7537,0.7227,0.0053,0.0029,0.5223,0.9378,Siit_Pistachio
,1263.126,486.2475,246.4966,0.862,,0.9494,,0.7341,1.9726,0.704,0.6938,0.0054,0.0028,0.4813,0.9495,Kirmizi_Pistachio
89942.0,2181.834,479.6725,,0.8451,338.4047,0.8696,103425.0,0.6664,1.8705,0.2374,0.7055,0.0053,0.0029,,0.931,Kirmizi_Pistachio
76237.0,,465.164,211.6298,0.8905,311.5573,0.9773,78007.0,0.7604,2.198,0.7419,0.6698,0.0061,0.0028,,0.986,Kirmizi_Pistachio
86284.0,1267.059,476.0713,237.7204,0.8664,331.4517,0.9496,90864.0,0.7507,2.0027,0.6754,0.6962,0.0055,0.0028,0.4847,0.9707,Kirmizi_Pistachio
78589.0,1092.491,416.8607,241.8924,0.8144,316.3268,0.9835,79906.0,0.7499,1.7233,0.8274,0.7588,0.0053,,0.5758,0.9923,Siit_Pistachio
79291.0,1166.0179,463.1125,218.9712,0.8812,317.7364,0.9823,80721.0,0.766,,0.7329,0.6861,0.0058,,0.4707,0.9955,Siit_Pistachio
56408.0,1140.973,,195.3829,0.8526,267.9942,0.9551,59058.0,0.7379,1.9139,0.5445,0.7167,0.0066,0.0035,0.5136,,Kirmizi_Pistachio
87016.0,1761.464,433.3289,289.7881,0.7435,332.8546,0.8608,101085.0,0.6469,,0.3524,0.7681,0.005,,0.59,0.8823,Siit_Pistachio
,1346.667,452.6535,220.8115,,313.3178,0.9524,80957.0,0.729,2.05,0.5343,0.6922,0.0059,0.0029,0.4791,0.9822,Kirmizi_Pistachio
71308.0,,423.6988,245.6564,0.8148,301.3174,0.8691,82046.0,0.6809,,0.2223,0.7112,0.0059,0.0034,0.5057,0.8723,Kirmizi_Pistachio
72169.0,1779.605,447.7899,218.2805,0.8731,303.131,0.9037,79861.0,0.6959,2.0514,0.2864,0.6769,0.0062,0.003,0.4583,0.9401,Kirmizi_Pistachio
91090.0,1241.655,,244.1972,0.8624,340.5575,0.9797,92981.0,0.7762,,0.7425,0.706,0.0053,0.0027,0.4985,0.9847,Kirmizi_Pistachio
,1338.38,,153.0344,0.9105,229.2277,0.89,46369.0,0.6439,2.4179,0.2895,0.6195,0.009,0.0037,0.3838,0.9279,Kirmizi_Pistachio
74756.0,1106.542,373.2378,256.2109,0.7272,308.5163,0.9772,76502.0,0.7633,1.4568,0.7672,0.8266,0.005,0.0034,0.6833,0.9953,
100235.0,1370.797,431.2668,303.1488,0.7113,357.2438,0.9604,,0.7492,1.4226,0.6703,0.8284,0.0043,0.003,0.6862,0.9762,Siit_Pistachio
99405.0,,464.8395,272.9653,0.8094,355.7617,0.9893,100481.0,0.7415,1.7029,0.8483,0.7653,0.0047,0.0027,0.5857,,Siit_Pistachio
,1213.4139,,249.1864,0.8508,338.4385,0.9591,93799.0,0.7509,1.9033,0.7678,0.7136,0.0053,0.0028,0.5092,0.9692,Kirmizi_Pistachio
62848.0,1955.826,447.4117,218.4633,0.8727,282.8791,0.8199,76656.0,0.6512,,0.2065,0.6323,0.0071,0.0035,0.3997,0.8187,Kirmizi_Pistachio
99297.0,1365.795,475.0481,269.5776,0.8234,,0.9854,100769.0,0.7223,1.7622,0.6689,0.7485,0.0048,0.0027,0.5602,0.9872,Siit_Pistachio
